ID,Calories,Age,Duration,Heart_Rate,Body_Temp
0,231.0,68,29.0,105.0,40.8
1,66.0,20,14.0,94.0,40.3
2,26.0,69,5.0,88.0,38.7
3,71.0,34,13.0,100.0,40.5
4,35.0,27,10.0,81.0,39.8
5,123.0,36,23.0,96.0,40.7
6,112.0,33,22.0,95.0,40.5
7,143.0,41,25.0,100.0,40.7
8,134.0,60,21.0,97.0,40.4
9,72.0,26,16.0,90.0,40.2
10,3.0,36,1.0,74.0,37.8
11,92.0,21,17.0,100.0,40.0
12,58.0,66,11.0,90.0,40.0
13,88.0,32,18.0,93.0,40.4
14,7.0,53,2.0,82.0,38.1
15,170.0,39,28.0,104.0,40.8
16,11.0,39,4.0,82.0,38.6
17,43.0,46,11.0,89.0,40.2
18,15.0,27,4.0,85.0,38.6
19,74.0,50,14.0,94.0,40.2
20,29.0,67,8.0,77.0,39.2
21,32.0,31,8.0,84.0,39.5
22,10.0,33,3.0,80.0,38.7
23,155.0,20,29.0,100.0,41.0
24,3.0,48,1.0,80.0,37.7
25,24.0,29,10.0,83.0,39.7
26,12.0,33,7.0,78.0,39.3
27,10.0,42,3.0,83.0,38.9
28,195.0,62,29.0,106.0,41.2
29,5.0,38,2.0,81.0,38.2
30,69.0,20,16.0,97.0,40.5
31,136.0,25,24.0,102.0,40.3
32,80.0,24,18.0,91.0,40.2
33,107.0,42,22.0,93.0,40.8
34,200.0,22,29.0,114.0,41.0
35,56.0,74,10.0,93.0,39.6
36,50.0,70,10.0,88.0,40.0
37,100.0,26,21.0,96.0,40.5
38,200.0,44,25.0,114.0,40.8
39,4.0,61,1.0,81.0,38.3
40,70.0,68,13.0,92.0,40.1
41,127.0,61,20.0,104.0,40.5
42,197.0,63,25.0,108.0,40.8
43,113.0,54,20.0,98.0,40.1
44,11.0,54,3.0,80.0,38.9
45,82.0,47,16.0,93.0,40.5
46,26.0,33,8.0,86.0,39.9
47,141.0,24,24.0,105.0,40.6
48,92.0,24,20.0,96.0,40.6
49,5.0,48,2.0,79.0,38.0
50,30.0,35,10.0,83.0,39.7
51,3.0,21,3.0,78.0,38.5
52,37.0,21,9.0,90.0,39.6
53,147.0,22,25.0,105.0,40.6
54,8.0,69,2.0,80.0,38.1
55,159.0,53,21.0,106.0,40.7
56,93.0,68,15.0,100.0,40.3
57,173.0,69,23.0,113.0,40.4
58,89.0,28,19.0,95.0,40.6
59,31.0,70,7.0,82.0,39.3
60,35.0,36,9.0,84.0,39.6
61,94.0,77,16.0,98.0,40.6
62,49.0,32,9.0,99.0,39.7
63,54.0,62,13.0,84.0,40.4
64,117.0,64,20.0,97.0,40.4
65,173.0,45,27.0,104.0,40.6
66,99.0,45,20.0,97.0,40.7
67,45.0,22,10.0,93.0,39.8
68,166.0,45,22.0,113.0,40.6
69,202.0,66,28.0,111.0,40.9
70,107.0,31,20.0,101.0,40.9
71,199.0,57,29.0,109.0,40.7
72,25.0,53,5.0,90.0,39.1
73,23.0,22,8.0,77.0,39.5
74,200.0,67,24.0,108.0,40.7
75,6.0,27,2.0,76.0,38.2
76,7.0,57,2.0,79.0,38.1
77,113.0,49,20.0,99.0,40.6
78,188.0,39,29.0,108.0,40.7
79,103.0,47,20.0,96.0,40.3
80,128.0,62,17.0,103.0,40.3
81,130.0,41,23.0,99.0,40.7
82,27.0,34,7.0,83.0,39.3
83,185.0,40,27.0,111.0,41.2
84,57.0,55,11.0,92.0,39.8
85,65.0,44,13.0,94.0,40.0
86,91.0,45,16.0,99.0,40.4
87,120.0,49,19.0,105.0,40.4
88,70.0,46,12.0,101.0,40.1
89,39.0,25,9.0,94.0,39.8
90,136.0,68,22.0,95.0,40.5
91,77.0,25,14.0,101.0,40.2
92,42.0,31,9.0,93.0,39.5
93,41.0,57,7.0,95.0,39.2
94,59.0,27,14.0,88.0,39.9
95,179.0,40,24.0,110.0,40.7
96,6.0,57,2.0,73.0,38.6
97,13.0,23,5.0,74.0,39.2
98,147.0,23,23.0,110.0,40.0
99,180.0,43,26.0,107.0,40.7
100,101.0,74,14.0,96.0,40.1
101,150.0,45,23.0,106.0,40.7
102,179.0,31,25.0,115.0,40.8
103,23.0,21,6.0,93.0,39.2
104,10.0,50,3.0,80.0,38.3
105,39.0,39,9.0,93.0,39.5
106,247.0,57,30.0,112.0,40.9
107,89.0,26,19.0,92.0,40.5
108,141.0,34,25.0,102.0,40.9
109,18.0,55,4.0,87.0,39.1
110,70.0,52,15.0,89.0,40.6
111,185.0,21,29.0,110.0,40.8
112,54.0,20,11.0,94.0,40.1
113,207.0,79,29.0,107.0,40.8
114,189.0,21,27.0,114.0,41.0
115,6.0,50,2.0,82.0,38.1
116,60.0,29,12.0,97.0,39.9
117,23.0,22,6.0,92.0,39.0
118,186.0,28,27.0,113.0,40.8
119,178.0,38,28.0,104.0,40.9
120,122.0,23,25.0,102.0,40.7
121,166.0,68,24.0,108.0,40.5
122,158.0,79,20.0,102.0,40.1
123,7.0,35,2.0,83.0,38.4
124,143.0,67,18.0,105.0,40.5
125,43.0,21,12.0,82.0,39.8
126,86.0,44,17.0,92.0,40.2
127,128.0,43,23.0,100.0,40.7
128,182.0,21,29.0,111.0,41.0
129,52.0,32,10.0,98.0,39.7
130,236.0,79,27.0,107.0,40.4
131,114.0,51,19.0,97.0,40.6
132,64.0,60,11.0,99.0,39.7
133,171.0,49,26.0,103.0,40.8
134,19.0,46,6.0,82.0,39.2
135,144.0,35,21.0,111.0,40.5
136,37.0,31,9.0,94.0,39.7
137,185.0,42,26.0,110.0,41.4
138,60.0,66,13.0,87.0,39.8
139,127.0,52,22.0,96.0,40.5
140,149.0,59,23.0,101.0,40.4
141,78.0,23,16.0,102.0,40.1
142,24.0,49,5.0,91.0,38.9
143,143.0,25,23.0,107.0,40.8
144,143.0,20,27.0,104.0,41.0
145,71.0,28,15.0,94.0,40.1
146,58.0,60,11.0,90.0,40.2
147,71.0,29,15.0,95.0,40.4
148,20.0,40,5.0,88.0,39.5
149,78.0,26,17.0,96.0,40.3
150,93.0,26,19.0,97.0,40.4
151,17.0,25,6.0,90.0,39.2
152,12.0,60,3.0,84.0,38.9
153,115.0,25,23.0,101.0,40.8
154,119.0,39,19.0,106.0,40.6
155,168.0,30,26.0,108.0,40.6
156,44.0,23,12.0,90.0,40.4
157,192.0,37,29.0,108.0,40.6
158,96.0,22,17.0,101.0,40.3
159,135.0,26,23.0,105.0,40.7
160,54.0,56,12.0,86.0,40.2
161,239.0,43,30.0,115.0,40.8
162,69.0,38,14.0,94.0,40.1
163,46.0,24,14.0,90.0,40.7
164,115.0,25,21.0,101.0,40.7
165,17.0,31,4.0,88.0,39.1
166,190.0,54,25.0,115.0,40.4
167,48.0,34,12.0,89.0,40.2
168,178.0,28,27.0,112.0,40.7
169,20.0,24,6.0,88.0,39.3
170,64.0,27,15.0,90.0,40.4
171,95.0,35,19.0,94.0,40.6
172,196.0,49,25.0,111.0,40.8
173,9.0,36,2.0,91.0,38.1
174,105.0,58,18.0,101.0,40.8
175,58.0,40,12.0,92.0,40.0
176,111.0,31,24.0,97.0,40.8
177,108.0,50,17.0,101.0,40.3
178,24.0,36,6.0,87.0,39.1
179,67.0,34,13.0,96.0,40.1
180,62.0,78,13.0,84.0,40.3
181,172.0,41,28.0,104.0,40.8
182,24.0,41,7.0,87.0,39.5
183,84.0,24,19.0,98.0,40.1
184,132.0,67,20.0,105.0,40.5
185,167.0,47,25.0,110.0,40.7
186,101.0,42,17.0,101.0,40.6
187,113.0,25,23.0,97.0,40.6
188,84.0,25,17.0,101.0,40.3
189,28.0,58,6.0,88.0,39.4
190,157.0,68,22.0,99.0,41.0
191,64.0,24,14.0,97.0,40.4
192,133.0,38,21.0,104.0,40.6
193,145.0,26,23.0,108.0,40.5
194,174.0,64,24.0,103.0,41.0
195,34.0,49,7.0,93.0,39.2
196,193.0,73,29.0,103.0,40.9
197,147.0,27,24.0,107.0,40.7
198,133.0,66,18.0,105.0,40.5
199,161.0,39,26.0,101.0,40.7
200,18.0,30,6.0,76.0,39.4
201,85.0,76,12.0,96.0,40.1
202,90.0,60,15.0,95.0,40.0
203,176.0,54,23.0,108.0,40.9
204,51.0,49,11.0,89.0,39.6
205,24.0,24,7.0,82.0,39.3
206,22.0,28,6.0,83.0,39.5
207,212.0,72,25.0,106.0,40.9
208,201.0,32,29.0,112.0,40.9
209,83.0,36,17.0,93.0,40.3
210,87.0,65,14.0,93.0,40.1
211,141.0,36,27.0,97.0,40.7
212,134.0,32,23.0,103.0,40.3
213,5.0,42,2.0,80.0,38.6
214,201.0,34,29.0,109.0,40.9
215,9.0,34,3.0,86.0,38.2
216,20.0,26,8.0,83.0,39.3
217,221.0,31,29.0,113.0,40.8
218,112.0,64,17.0,105.0,40.1
219,108.0,34,20.0,99.0,40.3
220,257.0,63,29.0,110.0,40.4
221,192.0,44,27.0,108.0,40.8
222,72.0,36,17.0,90.0,40.3
223,169.0,41,28.0,104.0,41.2
224,120.0,73,18.0,97.0,40.3
225,172.0,31,28.0,106.0,40.8
226,21.0,22,10.0,84.0,39.9
227,105.0,34,18.0,102.0,40.6
228,156.0,21,25.0,109.0,40.3
229,13.0,22,3.0,89.0,38.7
230,134.0,33,24.0,100.0,40.8
231,130.0,51,21.0,103.0,40.4
232,7.0,45,2.0,83.0,37.9
233,140.0,33,25.0,101.0,41.1
234,34.0,47,7.0,91.0,39.3
235,34.0,70,9.0,79.0,40.0
236,44.0,77,8.0,92.0,39.5
237,42.0,35,11.0,85.0,39.9
238,9.0,44,2.0,89.0,38.4
239,107.0,71,18.0,97.0,40.5
240,39.0,54,9.0,87.0,39.6
241,178.0,63,26.0,108.0,40.8
